# SPCoast,John Plocher,Brakeman Panel,2024-01,v2.5,PCBWay
# name, value, package, x, y, Eagle-Angle
LED1X11,RED,0603-LED,5.82,26.77,90.00
LED1X12,RED,0603-LED,5.82,72.49,90.00
LED1X21,RED,0603-LED,29.82,26.77,90.00
LED1X22,RED,0603-LED,29.82,72.49,90.00
LED1X31,RED,0603-LED,53.82,26.77,90.00
LED1X32,RED,0603-LED,53.82,72.49,90.00
LED1X41,RED,0603-LED,77.82,26.77,90.00
LED1X42,RED,0603-LED,77.82,72.49,90.00
LED2X11,RED,0603-LED,18.39,33.55,270.00
LED2X12,RED,0603-LED,18.39,79.27,270.00
LED2X21,RED,0603-LED,42.39,33.55,270.00
LED2X22,RED,0603-LED,42.39,79.27,270.00
LED2X31,RED,0603-LED,66.39,33.55,270.00
LED2X32,RED,0603-LED,66.39,79.27,270.00
LED2X41,RED,0603-LED,90.39,33.55,270.00
LED2X42,RED,0603-LED,90.39,79.27,270.00
R1KX11,1k0,0603-RES,11.68,30.35,180.00
R1KX12,1k0,0603-RES,11.68,76.07,180.00
R1KX21,1k0,0603-RES,35.69,30.35,180.00
R1KX22,1k0,0603-RES,35.69,76.07,180.00
R1KX31,1k0,0603-RES,59.69,30.35,180.00
R1KX32,1k0,0603-RES,59.69,76.07,180.00
R1KX41,1k0,0603-RES,83.69,30.35,180.00
R1KX42,1k0,0603-RES,83.69,76.07,180.00